,Variable,Year,Province,Value,Admin_Lvl,Region,Unit
0,Annual Per Capita Poverty Threshold (in Pesos),1991,1st District,,District,NCR, PHP
1,Annual Per Capita Poverty Threshold (in Pesos),2006,1st District,15699.0,District,NCR, PHP
2,Annual Per Capita Poverty Threshold (in Pesos),2009,1st District,19227.0,District,NCR, PHP
3,Annual Per Capita Poverty Threshold (in Pesos),2012,1st District,20344.0,District,NCR, PHP
4,Annual Per Capita Poverty Threshold (in Pesos),2015,1st District,25007.0,District,NCR, PHP
5,Poverty Incidence among Families (%),1991,1st District,,District,NCR,%
6,Poverty Incidence among Families (%),2006,1st District,2.7,District,NCR,%
7,Poverty Incidence among Families (%),2009,1st District,3.2,District,NCR,%
8,Poverty Incidence among Families (%),2012,1st District,3.6,District,NCR,%
9,Poverty Incidence among Families (%),2015,1st District,3.5,District,NCR,%
10,Magnitude of Poor Families,1991,1st District,,District,NCR, families
11,Magnitude of Poor Families,2006,1st District,9906.0,District,NCR, families
12,Magnitude of Poor Families,2009,1st District,12405.0,District,NCR, families
13,Magnitude of Poor Families,2012,1st District,14343.0,District,NCR, families
14,Magnitude of Poor Families,2015,1st District,12710.0,District,NCR, families
15,Poverty Incidence among Population (%),1991,1st District,,District,NCR,%
16,Poverty Incidence among Population (%),2006,1st District,4.9,District,NCR,%
17,Poverty Incidence among Population (%),2009,1st District,5.1,District,NCR,%
18,Poverty Incidence among Population (%),2012,1st District,6.2,District,NCR,%
19,Poverty Incidence among Population (%),2015,1st District,5.1,District,NCR,%
20,Magnitude of Poor Population,1991,1st District,,District,NCR, people
21,Magnitude of Poor Population,2006,1st District,79109.0,District,NCR, people
22,Magnitude of Poor Population,2009,1st District,84914.0,District,NCR, people
23,Magnitude of Poor Population,2012,1st District,102591.0,District,NCR, people
24,Magnitude of Poor Population,2015,1st District,82007.0,District,NCR, people
25,Subsistence Incidence among Population (%),1991,1st District,,District,NCR,%
26,Subsistence Incidence among Population (%),2006,1st District,1.4,District,NCR,%
27,Subsistence Incidence among Population (%),2009,1st District,0.0,District,NCR,%
28,Subsistence Incidence among Population (%),2012,1st District,0.5,District,NCR,%
29,Subsistence Incidence among Population (%),2015,1st District,1.6,District,NCR,%
30,Magnitude of Subsistence Poor Population,1991,1st District,,District,NCR, people
31,Magnitude of Subsistence Poor Population,2006,1st District,22528.0,District,NCR, people
32,Magnitude of Subsistence Poor Population,2009,1st District,0.0,District,NCR, people
33,Magnitude of Subsistence Poor Population,2012,1st District,8902.0,District,NCR, people
34,Magnitude of Subsistence Poor Population,2015,1st District,24855.0,District,NCR, people
35,Annual Per Capita Poverty Threshold (in Pesos),1991,2nd District,,District,NCR, PHP
36,Annual Per Capita Poverty Threshold (in Pesos),2006,2nd District,15699.0,District,NCR, PHP
37,Annual Per Capita Poverty Threshold (in Pesos),2009,2nd District,19227.0,District,NCR, PHP
38,Annual Per Capita Poverty Threshold (in Pesos),2012,2nd District,20344.0,District,NCR, PHP
39,Annual Per Capita Poverty Threshold (in Pesos),2015,2nd District,25007.0,District,NCR, PHP
